"Front","Back","Domain","Difficulty","Tags"
"Name three cases where delegating to a subagent is worthwhile despite its overhead.","When the task would flood the coordinator's context, when it needs a different prompt or tool set (specialist persona), or when it can run in parallel with other work.","Agentic Architecture & Orchestration","easy","delegation,subagents"
"What is the partition-then-parallel pattern for auditing 50 repositories?","The coordinator divides the input into N roughly equal chunks, spawns N subagents (one per chunk), and synthesizes their uniform structured outputs.","Agentic Architecture & Orchestration","medium","partition-parallel,subagents"
"In partition-then-parallel work, why balance partitions by expected effort, not raw count?","Total elapsed time becomes max(subagent_durations); if a few partitions are far heavier, the slowest one dictates total time and the parallelism is wasted.","Agentic Architecture & Orchestration","hard","parallel-execution,load-balancing"
"Does a subagent automatically share the parent agent's conversation state?","No. A subagent starts a fresh conversation and sees only what the parent explicitly passes plus its own AgentDefinition; it does not see prior user turns, assistant turns, or tool results.","Agentic Architecture & Orchestration","easy","subagent-context,isolation"
"Since subagents do not inherit context, what must the parent put in the subagent prompt?","Everything the subagent needs: the goal, relevant findings, constraints, source references, and the expected output shape.","Agentic Architecture & Orchestration","medium","subagent-context,handoff"
"Why doesn't a ""resume the previous research subagent"" pattern exist by default?","Calling the Agent/Task tool again starts a brand-new agent; for continuity the parent must persist an identifier or include the prior summary in the new prompt.","Agentic Architecture & Orchestration","medium","subagent-context,state"
"Critique the subagent handoff ""Synthesize the findings.""","It is too vague; a good handoff specifies the records, requires preserving uncertainty, citing each claim with its source_id, and separating established from contested findings.","Agentic Architecture & Orchestration","medium","handoff,provenance"
"For final report generation requiring citations, what should the coordinator pass to the report subagent?","A structured source index mapping claims to source IDs, URLs, excerpts, dates, and confidence/uncertainty notes - not only a prose summary.","Agentic Architecture & Orchestration","medium","report-generation,provenance"
"Why shouldn't every subagent inherit every tool?","More tools increase selection complexity and can lead agents outside their role; restricting tools to what each subagent needs improves focus and security.","Agentic Architecture & Orchestration","easy","tool-distribution,subagents"
"What tools does a synthesis subagent that should only work from supplied findings need?","Generally no external search tools; it should work only from the findings the coordinator passes so it does not introduce unsourced content.","Agentic Architecture & Orchestration","medium","tool-distribution,synthesis"
"In the Claude Agent SDK, what must be in the parent's allowedTools for it to spawn subagents?","The delegation tool itself (typically named Task or Agent); without it the parent has no callable interface to launch the subagent definitions.","Agentic Architecture & Orchestration","medium","agent-sdk,delegation"
"An orchestrator describes delegation but no subagent ever runs. What is the most likely cause?","The Task/Agent tool is not in the parent's allowedTools, so the parent has no interface to launch subagents even though the definitions exist.","Agentic Architecture & Orchestration","hard","agent-sdk,delegation,debugging"
"When should a coordinator start independent tasks concurrently?","When the tasks do not depend on each other's output; parallel execution turns elapsed time into max(durations) instead of sum, especially for I/O-bound work.","Agentic Architecture & Orchestration","medium","parallel-execution,latency"
"When must you NOT parallelize two tasks?","When the second task needs the first task's output - e.g., document analysis cannot inspect sources until the sources are identified.","Agentic Architecture & Orchestration","easy","parallel-execution,dependencies"
"Describe the common three-phase agentic phasing pattern.","Serial decomposition (one call plans the independent units), then parallel execution (each unit runs concurrently), then serial synthesis (one final call assembles results).","Agentic Architecture & Orchestration","medium","phasing,parallel-execution"
"For which kind of subtasks does the parallel phase win the most latency back?","I/O-bound subtasks (fetches, searches, document analyses), because elapsed time becomes max(durations); CPU- or token-bound work sees a smaller speedup.","Agentic Architecture & Orchestration","hard","parallel-execution,latency"
"Why persist structured exports rather than only transcripts for long multi-agent workflows?","On resume the coordinator can load a manifest and inject only relevant state into each agent prompt, which is more efficient than replaying every subagent transcript.","Agentic Architecture & Orchestration","medium","state-persistence,resume"
"What does a workflow state manifest typically contain?","Workflow id, completed steps, per-document status with claim IDs, and open gaps - durable structured state, not raw conversation.","Agentic Architecture & Orchestration","easy","state-persistence,manifest"
"Why must research agents preserve publication or data-collection dates with each claim?","Without dates a synthesis agent may treat older and newer statistics as contradictory when they actually show a trend over time.","Agentic Architecture & Orchestration","hard","provenance,dates"
"What should research subagents output per finding for trustworthy synthesis?","Claim, source ID and location, publication/data date, methodology notes, source confidence language, and whether the finding is established, contested, or insufficiently supported.","Agentic Architecture & Orchestration","medium","provenance,uncertainty"
"When should a customer-service agent escalate to a human?","When the user explicitly asks and the issue cannot be resolved without overriding them, the issue needs authority the agent lacks, a policy exception or high-value transaction is involved, no meaningful progress is possible, or tool results show an unsafe state needing human judgment.","Agentic Architecture & Orchestration","medium","escalation,customer-service"
"Why is ""escalate after three failed tool calls"" a poor escalation rule?","The category and impact of a failure matter more than the count; a simplistic counter ignores whether the failure is recoverable or critical.","Agentic Architecture & Orchestration","hard","escalation,heuristics"
"What should an escalation handoff contain?","A structured handoff: customer ID, issue type, root cause, relevant records, amount, actions taken, and recommended next action - not just the first complaint or a raw transcript dump.","Agentic Architecture & Orchestration","easy","escalation,handoff"
"A frustrated user asks for a human but the issue is straightforward and resolvable. What should the agent do?","Acknowledge the frustration, offer the immediate resolution while preserving their choice to be transferred, and let them pick - do not silently perform the account action.","Agentic Architecture & Orchestration","medium","frustrated-users,escalation"
"Which customer-service rules must be enforced programmatically rather than by prompt?","Hard rules: refunds above a threshold, reimbursements needing manager approval, regulated financial/healthcare workflows, and destructive infrastructure operations.","Agentic Architecture & Orchestration","easy","compliance,enforcement"
"Why put a reimbursement threshold rule inside the process_reimbursement tool itself?","So the model cannot bypass it by choosing the wrong tool or setting an approval flag incorrectly; the tool disburses below the threshold and creates a pending approval above it.","Agentic Architecture & Orchestration","medium","compliance,tool-enforcement"
"Where should a credit-limit threshold value come from, and why?","From a server-controlled source (feature flag, policy service, account record), not a model-passed parameter, so the model cannot raise the cap by setting something like override=true.","Agentic Architecture & Orchestration","hard","compliance,threshold-enforcement"
"Describe preview-then-execute with single-use tokens for a high-impact action.","A preview tool returns a redacted summary plus a short-lived one-time token bound to that payload; the user confirms; the execute tool consumes the token. The model cannot forge or reuse a token with different parameters.","Agentic Architecture & Orchestration","medium","preview-execute,safety"
"Why re-verify the caller's authority on every tool invocation even when the model behaved correctly?","Tools live inside the trust boundary and must validate; ""the model already checked policy"" is not a defense against adversarial input or prompt injection.","Agentic Architecture & Orchestration","medium","authorization,defense-in-depth"
"What does defense-in-depth mean for customer-service compliance?","Prompt rules bias the agent, tool implementations enforce the hard rule, and audit logs detect violations - prose rules alone can be pushed past by adversarial users or prompt injection.","Agentic Architecture & Orchestration","hard","defense-in-depth,compliance"
"How should an agent handle a tool failing mid-workflow (graceful degradation)?","Explain what was verified, state what could not be completed, be transparent about the system issue, and offer next steps like retry, escalation, or notification.","Agentic Architecture & Orchestration","medium","graceful-degradation,customer-service"
"Why prefer ""here is what is done, here is what is pending"" over a flat success message after partial completion?","Users tolerate visible incompleteness but not later discovering a supposedly completed action silently rolled back; never claim a side effect that did not finish.","Agentic Architecture & Orchestration","medium","graceful-degradation,transparency"
"When the same tool keeps failing on the same input, what should the agent do?","Treat it as a signal to switch strategies - try a different tool, ask a clarifying question, or escalate - rather than burning more retries on the same call.","Agentic Architecture & Orchestration","medium","retry,strategy-switch"
"Why not use a full research pipeline for a simple factual query?","The coordinator should choose a smaller path for simple queries; running the whole pipeline wastes calls and latency for facts that need no decomposition.","Agentic Architecture & Orchestration","easy","coordinator,efficiency"
"If one-pass research finds gaps, what should the coordinator do?","Trigger a targeted follow-up search; a strict single-pass design leaves known gaps unanswered.","Agentic Architecture & Orchestration","medium","coordinator,iteration"
"Why not pass raw 100K-token outputs between every agent in a pipeline?","It floods context and cost; pass structured summaries plus source indexes so downstream agents get what they need without the bulk.","Agentic Architecture & Orchestration","medium","context-passing,efficiency"
"When should you give subagents goals and quality criteria instead of brittle step-by-step search strings?","When adaptability matters; over-prescribed steps stop the subagent from adjusting to what it finds, while goals plus criteria let it adapt.","Agentic Architecture & Orchestration","hard","subagent-design,autonomy"
"What is the trade-off of dynamic decomposition versus a fixed chain?","Dynamic plans adapt to findings but are unpredictable and hard to budget, so you must set explicit termination criteria and step caps.","Agentic Architecture & Orchestration","hard","dynamic-decomposition,termination"
"Why is starting a fixed debugging checklist often the wrong approach for an intermittent failure?","A pre-written checklist often misses the actual cause and runs every step regardless; the cause only becomes clear after each finding, which is what dynamic decomposition handles.","Agentic Architecture & Orchestration","hard","dynamic-decomposition,debugging"
"For multi-issue customer sessions across many turns, how can the agent reliably answer ""what happened with my refund?""","Track each issue's current status (order ID, amounts, resolution state) in structured state independent of the linear conversation.","Agentic Architecture & Orchestration","medium","structured-state,customer-service"
