"Front","Back","Domain","Difficulty","Tags"
"To compare two alternative implementations cleanly, what two things should you isolate?","Fork the session so each approach's conversation evolves independently AND use a separate worktree so file changes do not collide; doing only one leaves them tangled.","Claude Code Configuration & Workflows","hard","sessions,worktrees"
"Why avoid resuming the same session in multiple terminals at once?","Both processes can append to the same session history, making later resumes confusing.","Claude Code Configuration & Workflows","easy","sessions,pitfall"
"If the codebase changed since the previous session, when resume vs start fresh?","Resume and name the changed files/functions when most prior context is still useful; start fresh with a summary when the old transcript is likely stale or misleading.","Claude Code Configuration & Workflows","medium","sessions,stale-context"
"Why might the same session that wrote code be a weak reviewer of it?","Its context includes the earlier reasoning, so it is less critical of its own choices; use a fresh review context, review subagent, CI review, or a separate session with the diff.","Claude Code Configuration & Workflows","medium","self-review,context-isolation"
"What belongs in a scratchpad for a long codebase investigation?","Important files, data flow, open questions, confirmed assumptions, risk areas, and next steps - durable findings that survive context compaction or a session handoff.","Claude Code Configuration & Workflows","easy","scratchpad,investigation"
"What does CLAUDE.md store and when is it loaded?","Project or user memory (build commands, conventions, architecture notes, testing standards) auto-loaded into Claude Code's context on every turn based on a hierarchy.","Claude Code Configuration & Workflows","easy","claude-md,memory"
"Describe the CLAUDE.md memory hierarchy.","Root CLAUDE.md applies project-wide; subdirectory CLAUDE.md files layer on top for that subtree; a user-level memory file applies across all the user's projects; more specific files refine or override general ones for their area.","Claude Code Configuration & Workflows","medium","claude-md,hierarchy"
"What does @path/to/file.md syntax do in CLAUDE.md?","It imports additional shared content without copy-pasting - the right way to reuse a standards document across multiple CLAUDE.md files.","Claude Code Configuration & Workflows","easy","claude-md,imports"
"Team-wide rules vs personal preferences: where does each belong?","Team-wide rules belong in repo-tracked CLAUDE.md files so all collaborators benefit; personal preferences (commit style, test shortcuts) belong in user-level memory, not shared files.","Claude Code Configuration & Workflows","medium","claude-md,scoping"
"Claude inconsistently follows project conventions. What is the first diagnostic step?","Use /memory to confirm the expected memory file is actually loaded for the current working directory; if it is not loaded, no extra prompting fixes it - the problem is loading scope, not wording.","Claude Code Configuration & Workflows","medium","memory,debugging"
"Does Claude Code use a .claude/rules/ folder with per-rule YAML frontmatter for path scoping?","No. The mechanism is CLAUDE.md files plus @import references; path scoping comes from placing CLAUDE.md at the right directory level, and sharing from @imports. YAML-frontmatter rule files are not the standard model.","Claude Code Configuration & Workflows","hard","claude-md,misconception"
"Why not put an occasional code-review checklist in global CLAUDE.md?","Memory files are read every turn, so workflow-specific content costs tokens and dilutes ordinary work; put it in a slash command or review subagent instead.","Claude Code Configuration & Workflows","medium","claude-md,slash-commands"
"What are slash commands used for?","Reusable prompts for explicit workflows developers invoke intentionally (e.g., /review, /release-notes, /migration-plan); project commands are shared with the repo, user commands are personal.","Claude Code Configuration & Workflows","easy","slash-commands,workflow"
"What can a PreToolUse hook do?","Fire before a tool call to deny, allow, ask for approval, defer to normal permission rules, inject additional context, or modify the tool's input - the correct class for must-always-require-approval policies.","Claude Code Configuration & Workflows","medium","hooks,pretooluse"
"Why is a PreToolUse hook the canonical way to enforce hard rules in Claude Code?","Hooks run as code in your environment, so the model cannot talk around them - that is exactly why hard rules belong there rather than in prompt instructions.","Claude Code Configuration & Workflows","medium","hooks,enforcement"
"What is PostToolUse useful for?","Logging, formatting, secondary checks, or appending follow-up context after a tool call.","Claude Code Configuration & Workflows","easy","hooks,posttooluse"
"What can a UserPromptSubmit hook do?","Fire when the user submits a prompt to block the submission, modify it, or attach extra context.","Claude Code Configuration & Workflows","easy","hooks,userpromptsubmit"
"What is the SessionStart hook useful for?","Loading project context, setting up environment variables, or running pre-flight checks once when a session begins.","Claude Code Configuration & Workflows","easy","hooks,sessionstart"
"Why must you treat hook configurations as security-sensitive code?","Hooks execute shell commands in your environment; a malicious or buggy hook can damage the system or exfiltrate data, so review third-party hooks and avoid secrets in loggable arguments.","Claude Code Configuration & Workflows","medium","hooks,security"
"To block destructive Bash patterns unless approved, prompt instruction or hook?","A PreToolUse hook/permissions - prompt instructions are not tamper-proof, but hook code cannot be talked around by the model.","Claude Code Configuration & Workflows","hard","hooks,enforcement,bash"
"What characterizes good subagent design in Claude Code?","A clear single responsibility, a specific description so Claude knows when to use it, limited tools for the role, and an output contract the coordinator can consume.","Claude Code Configuration & Workflows","medium","subagents,design"
"Does a Claude Code subagent inherit the parent's conversation or CLAUDE.md automatically?","No. It receives its AgentDefinition and the prompt the parent constructed; CLAUDE.md is not always loaded into it, so the parent must restate every fact (including conventions) the subagent needs.","Claude Code Configuration & Workflows","hard","subagents,context"
"Why doesn't a second invocation of the same subagent continue where the first left off?","Each call is fresh with no inherited memory; if state must persist the parent persists it (a file or note) and re-supplies the relevant slice each call.","Claude Code Configuration & Workflows","medium","subagents,state"
"What is the most effective kind of feedback for iterating with Claude on code?","Concrete, executable feedback: a specific failing input, the expected and actual output, a validation error, or the failing test name and assertion - not ""handle edge cases better.""","Claude Code Configuration & Workflows","medium","iteration,feedback"
"Describe the effective coding iteration loop.","Define behavior with tests/examples, ask for the smallest useful implementation, run tests, feed back exact failures, and iterate one failure class at a time.","Claude Code Configuration & Workflows","easy","iteration,testing"
"When the same defect recurs across runs of the same prompt, retry or structural change?","A structural change - add a few-shot example, split a tool, or surface a new field; prompt-level fixes generalize while per-instance retries do not.","Claude Code Configuration & Workflows","hard","iteration,prompt-design"
"List signs that generated tests are low value.","They only assert code does not throw, duplicate existing coverage, ignore project fixtures, test implementation details rather than behavior, or miss important branches and error paths.","Claude Code Configuration & Workflows","medium","test-generation,quality"
"For reducing false positives in a code-review agent, vague ""be conservative"" or few-shot examples?","Few-shot examples are more effective - show acceptable code patterns next to genuinely problematic ones; also add fields like detected_pattern or rule_id so dismissals become signal.","Claude Code Configuration & Workflows","hard","code-review,few-shot"
