"Front","Back","Domain","Difficulty","Tags"
"When external state changes without the agent asking, system prompt or tool result?","The system prompt for the next call - it is the natural home for what is currently true about the user/account/environment; tool results are for information the agent itself requested.","Context Management & Reliability","hard","system-prompt,external-updates"
"When should you use general principles vs explicit conditionals in a system prompt?","Principles for judgment-heavy behavior (adapt depth to expertise, one clarifying question at a time); explicit conditionals for safety-critical triggers and policy bright lines.","Context Management & Reliability","medium","principles,conditionals"
"If a rule must hold 100% of the time, where does it belong?","Out of the prompt and into code - prompt instructions are probabilistic guidance, not deterministic enforcement.","Context Management & Reliability","easy","enforcement,conditionals"
"Why is translating every nuanced behavior into explicit conditionals an over-correction?","It forces shallow keyword matching and misclassifies users who phrase things atypically; a general principle lets the model integrate dozens of implicit signals like vocabulary and follow-up specificity.","Context Management & Reliability","hard","principles,conditionals"
"When do few-shot examples outperform long prose instructions in a system prompt?","When the model needs to learn distinctions (beginner vs expert explanations, acceptable vs reportable findings, handling missing info) - examples are denser than prose for behavior the model must learn rather than recite.","Context Management & Reliability","medium","few-shot,system-prompt"
"A system prompt has grown into long bulleted rule lists and behavior drifts. Best fix?","Replace chunks of rules with two or three contrasting examples; the model cannot keep all rules salient at once, and examples restore adherence more reliably than more prose.","Context Management & Reliability","hard","prompt-dilution,few-shot"
"What is prompt dilution?","System-prompt adherence weakening as a conversation grows, even before the context window is full, because the assistant's previous responses become a behavioral pattern.","Context Management & Reliability","medium","prompt-dilution,attention"
"Name mitigations for prompt dilution.","Concise well-structured prompts, critical instructions in salient sections, behavioral examples, natural reminders before complex tasks, and enforcing important rules outside the model.","Context Management & Reliability","medium","prompt-dilution,mitigation"
"Describe the user-role reminder reinforcement pattern.","At a phase change (finishing one task, returning after idle, switching topics) append a brief user-role message restating current constraints - more effective than re-sending the whole system prompt because it integrates with the flow the model is attending to.","Context Management & Reliability","hard","reinforcement,prompt-dilution"
"How should the system prompt be treated for multi-day sessions?","As living configuration - allow the application to update it between turns to reflect what is now true (current plan, latest decisions, completed steps); the full messages still go in the messages array.","Context Management & Reliability","medium","prompt-versioning,living-config"
"When should an agent ask a clarifying question?","When multiple interpretations lead to substantially different actions, the action is irreversible or costly, the user expressed conflicting goals, or required information is truly missing.","Context Management & Reliability","medium","clarification,ambiguity"
"When should an agent proceed with stated assumptions instead of asking?","When the action is low risk, context strongly suggests intent, and the user can easily correct the direction - state the assumption and invite redirection.","Context Management & Reliability","medium","assumptions,ambiguity"
"For a genuinely ambiguous request, one clarifying question or a list of three or four?","One focused question that most changes your next action; multiple simultaneous questions feel like an interrogation and users often answer only the first.","Context Management & Reliability","medium","clarification,ux"
"Why is front-loading many clarifying questions before any low-risk action usually wrong?","The cost of a small redirected effort is usually lower than the friction of long preflight Q&A; the exception is irreversible, costly, or regulated actions where you must ask first.","Context Management & Reliability","hard","clarification,risk"
"A user wants both ""the cheapest flight"" and ""arriving by 9 AM Friday nonstop."" What should the agent do?","Name the tension explicitly and ask which constraint should bend; a hidden compromise produces a result satisfying neither stated goal and usually requires rework.","Context Management & Reliability","hard","conflicting-goals,clarification"
"If responses become repetitive, why is a ""never say X"" list not the best first fix?","Better options are improved examples, a concise style guide, partial assistant prefill for the opener, or safe cosmetic post-processing; prefill a short neutral first phrase rather than expanding the system prompt.","Context Management & Reliability","medium","repetition,prefill"
