"Front","Back","Domain","Difficulty","Tags"
"Why is a monolithic find_and_execute tool worse than a discovery tool plus separate execution?","Search-and-execute hides the final decision and can perform the wrong action too early; discovery should narrow choices while the agent or user can still inspect before execution.","Tool Design & MCP Integration","hard","progressive-availability,safety"
"How does the Claude Agent SDK support progressive tool availability natively?","Through tool search and dynamic tool registration; MCP servers can also send list_changed notifications so clients refresh tools without reconnecting.","Tool Design & MCP Integration","medium","agent-sdk,progressive-availability"
"When tool outputs include ML confidence scores, what should the tool return besides raw confidence?","A derived requires_review boolean with review_reasons, calibrated against a labeled validation set, so agent behavior is consistent instead of over-trusting or over-escalating raw scores.","Tool Design & MCP Integration","medium","requires-review,calibration"
"Why is ""Ready to post. Confirm?"" with no details an unsafe confirmation prompt?","The tool must return enough structured detail (cost, target, schedule, irreversible effects, scope) for the user to catch a mistake, even if users usually click yes.","Tool Design & MCP Integration","medium","confirmation,safety"
"Why is dry_run: boolean on a single tool insufficient for a must-always-preview destructive action?","The model can simply call the tool with dry_run=false; use a structural preview-token-execute pattern instead.","Tool Design & MCP Integration","hard","safety,preview-execute"
"Describe the three-step structural pattern for a mandatory-preview workspace deletion.","preview_delete_workspace returns impact plus a one-time confirmation token; the user reviews; execute_delete_workspace requires the token and verifies it matches the previewed action.","Tool Design & MCP Integration","medium","preview-execute,safety"
"Do MCP tool annotations or descriptions enforce security?","No. Security belongs in code, hooks, permissions, and tool logic; annotations and descriptions are untrusted hints.","Tool Design & MCP Integration","easy","security,annotations"
"Why is encoding format hints in parameter names (e.g., date_string_iso_yyyy_mm_dd) a pitfall?","Format belongs in descriptions and schemas, not names; making everything a free-text string increases ambiguity and invalid combinations.","Tool Design & MCP Integration","medium","parameter-design,pitfall"
"List the tool-error categories and the correct handling for each.","Transient infrastructure: retry in tool with backoff; permanent validation: return structured details to correct or ask; business rule: non-retryable with user explanation; permission: non-retryable with escalation path; uncertain write state: report uncertainty, no auto-retry.","Tool Design & MCP Integration","hard","error-categories,handling"
"If a read-only API times out and immediate retries usually succeed, where should retry happen?","Inside the tool - it should absorb recoverable infrastructure noise; the model does not need to see the first failed network attempt.","Tool Design & MCP Integration","medium","retry,tool-level"
"Why must a payment/notification/order timeout after submission NOT be auto-retried?","The tool may not know whether the side effect occurred; blind retry causes duplicate charges, messages, or postings. Report uncertain state and require an idempotency key or user decision.","Tool Design & MCP Integration","medium","uncertain-write,idempotency"
"How should application-level tool errors be returned in MCP?","As normal tool results with isError: true, not uncaught exceptions; protocol-level failures use JSON-RPC errors.","Tool Design & MCP Integration","easy","mcp-error,isError"
"Distinguish MCP protocol errors from tool execution errors.","Protocol errors mean the request could not be processed at the protocol boundary (unknown tool, malformed JSON-RPC, missing required parameter). Tool execution errors mean the tool ran but the operation failed (404, 503, business rule, permission, rate limit) and use isError: true.","Tool Design & MCP Integration","hard","mcp-error,tiers"
"A check_availability(user_email) call omits user_email entirely. Protocol error or isError?","A JSON-RPC protocol error - the call was not even structurally well-formed against the schema.","Tool Design & MCP Integration","medium","mcp-error,protocol"
"The calendar API returns 404 because the user does not exist. Protocol error or isError?","A tool execution error with isError: true - the tool was invoked correctly; the operation simply failed. A missing record is data, not a protocol failure.","Tool Design & MCP Integration","medium","mcp-error,isError"
"Why is putting a missing-required-parameter failure in isError a bug?","It confuses the agent into retrying with the same bad call; a structural protocol violation should be a JSON-RPC error so the agent does not blindly retry.","Tool Design & MCP Integration","hard","mcp-error,retry"
"Why is putting a remote 503 into a JSON-RPC protocol error a bug?","It prevents the agent from trying again later; a transient upstream failure should be isError: true so the agent can decide to retry, switch tools, or escalate.","Tool Design & MCP Integration","hard","mcp-error,retry"
"Where should retry logic live when the model needs to change inputs or strategy?","At the model level - validation errors, syntax errors in user filters, or a wrong identifier require the model to change the request, not a silent tool retry.","Tool Design & MCP Integration","medium","retry,model-level"
"A search_catalog tool has 8% transient timeouts and 4% user-filter syntax errors. Correct design?","Retry the transient errors inside the tool with backoff and surface only the final outcome; surface syntax errors immediately with parameter validation details so the model can correct or ask the user.","Tool Design & MCP Integration","hard","retry,error-classification"
"Why is a retryable: true|false boolean alone weaker than actually retrying transient failures in the tool?","It still costs a model turn and risks the agent retrying anyway; actually retrying transient failures inside the tool is more reliable.","Tool Design & MCP Integration","medium","retry,design-tradeoff"
"For a write timeout of uncertain state, should the result be flagged retry_safe: true?","No. Mark it an error, communicate that delivery is unknown and may have occurred, and encourage a separate status lookup or user confirmation before acting.","Tool Design & MCP Integration","medium","uncertain-write,safety"
"What are MCP's three server-side building blocks and who controls each?","Tools (model-controlled actions), resources (application-controlled context), and prompts (user/application-controlled reusable templates).","Tool Design & MCP Integration","easy","mcp,building-blocks"
"Should a database schema or API spec the agent consults before acting be a resource or a tool?","A resource - it is stable reference material the agent reads like context; dynamic state requiring live computation should be a tool.","Tool Design & MCP Integration","easy","mcp,resource-vs-tool"
"Why are MCP resources and tools complements rather than alternatives?","Resources describe what is true and stable; tools describe what actions can be taken. Replacing resources with tools forces a call to learn anything; replacing tools with resources prevents acting at all.","Tool Design & MCP Integration","hard","mcp,resource-vs-tool"
"When is exposing data through an MCP server more valuable than a custom in-app tool?","When the integration should be reusable across multiple clients or applications; a deeply app-specific one-off workflow may be simpler as a custom tool.","Tool Design & MCP Integration","medium","mcp,reusability"
"Does MCP automatically solve authentication, rate limiting, retries, or caching?","No - those remain system design responsibilities; MCP is a protocol, not a complete middleware platform.","Tool Design & MCP Integration","easy","mcp,scope"
"An agent ignores a specialized MCP tool and uses generic search instead. Most likely fix?","Improve the MCP tool description: explain when it is preferable to generic alternatives, describe inputs/outputs, add examples, and mention key capabilities - do not remove all competing tools.","Tool Design & MCP Integration","medium","mcp,tool-description"
"Name the four standard MCP tool annotation hints.","readOnlyHint, destructiveHint, idempotentHint, and openWorldHint - hints that help the host build UI affordances but are not a security boundary.","Tool Design & MCP Integration","easy","mcp,annotations"
"How should a host treat a server advertising readOnlyHint: true on a destructive tool?","As an untrusted hint: use annotations to choose which prompt to show but never to skip a security check policy requires; base permission decisions on server trust, user policy, tool identity, and real risk.","Tool Design & MCP Integration","hard","mcp,annotations,security"
