"Front","Back","Domain","Difficulty","Tags"
"Why is schema-backed output more reliable than asking for free-form text that ""looks like JSON""?","Schema-backed output is constrained, so it is far less fragile than prompt-only JSON for production pipelines feeding databases, workflow engines, or audits.","Prompt Engineering & Structured Output","medium","structured-output,reliability"
"Give the recommended extraction-system pattern using a forced tool.","Define an extraction tool whose input schema is the desired output, force it with tool_choice, validate the result in code, and on semantic failure re-call Claude with the source, invalid extraction, and exact validation errors.","Prompt Engineering & Structured Output","medium","extraction,validation-loop"
"Why can a large tool definition plus a long document degrade accuracy near the document's end?","Tool definitions, schemas, and tool-use/result blocks count as input tokens; total context consumption can approach the effective attention boundary, degrading content near the end - not a model defect.","Prompt Engineering & Structured Output","hard","context,token-cost"
"Name operational implications of JSON structured outputs.","First request for a schema may have extra latency while the grammar compiles; schemas are cached; very complex schemas can exceed compilation limits; refusals or max-token stops can still produce nonconforming output.","Prompt Engineering & Structured Output","medium","structured-output,operations"
"What is partial assistant prefill useful for, and what is the caveat?","Controlling response format (e.g., starting with { or a neutral opener) by continuing a partially filled assistant message; caveat: schema-constrained tool use is usually better for machine-readable output.","Prompt Engineering & Structured Output","medium","prefill,format-control"
"Why do cost and latency rise in long conversations?","Each turn includes the entire history, so input token count rises every message and latency rises proportionally - almost always input token growth, not a model or database defect.","Prompt Engineering & Structured Output","medium","token-growth,latency"
"Does a JSON Schema prove the source supported the extracted value?","No. A schema can verify attendee_count is an integer but not that the article actually stated an attendee count - schema compliance is not source truth.","Prompt Engineering & Structured Output","medium","schema,provenance"
"Why use optional or nullable fields for information that may be absent?","A required field with no source support structurally pressures the model to fabricate; teach it to return null, an empty array, or an explicit absence reason.","Prompt Engineering & Structured Output","medium","schema,fabrication"
"How should you handle an ambiguous classification in a schema?","Add an enum value like unclear (or other with a detail field) so the model has a correct option instead of being forced to pick.","Prompt Engineering & Structured Output","medium","schema,enum"
"Why is a strict enum without an escape hatch fragile in an evolving domain?","New categories keep appearing and cause validation failures; add an other value plus a paired *_detail string for the source's actual wording.","Prompt Engineering & Structured Output","medium","enum,schema-evolution"
"Give instruction phrasings that reduce fabrication in extraction.","""Extract only values stated in the source,"" ""use null when not provided,"" ""do not infer missing values from typical examples,"" ""preserve informal measurements verbatim when no precise value is given.""","Prompt Engineering & Structured Output","easy","fabrication,instructions"
"Why is a second ""verify"" LLM call generally inferior to fixing the schema for fabrication?","Verification adds cost and latency, can itself hallucinate or rationalize, and does not address the root cause - allowing null lets the first call signal absence directly, which is cheaper and more honest.","Prompt Engineering & Structured Output","hard","fabrication,schema"
"Distinguish null from an empty array in extraction semantics.","An empty pros array reads as ""the reviewer mentioned no pros"" (a real claim); null reads as ""the document did not address pros"" - choose deliberately when the distinction matters.","Prompt Engineering & Structured Output","hard","schema,semantics"
"When are few-shot examples especially effective in extraction?","When the model is inconsistent across varied document structures; complete input-output pairs for edge cases teach subtle distinctions and standardized formats better than verbose written rules.","Prompt Engineering & Structured Output","medium","few-shot,extraction"
"What provenance fields help high-stakes extraction?","Fields like source_location, source_quote, and effective_date, so reviewers can audit choices - critical with amendments, conflicting sections, or required citations.","Prompt Engineering & Structured Output","medium","provenance,extraction"
"Why might strict JSON structured outputs and the citation feature be incompatible?","Citations require interleaved citation blocks while JSON schemas require constrained JSON; for structured extraction plus provenance, represent source locations explicitly in your schema instead.","Prompt Engineering & Structured Output","hard","citations,structured-output"
"For a contract with amendments, why may a single scalar field be the wrong schema?","It loses original vs amended values; capture both with effective dates and locations so the precedence is auditable.","Prompt Engineering & Structured Output","medium","schema,amendments"
"What semantic errors do JSON Schema and strict tool use NOT catch?","Domain errors like line items not summing to totals, dates out of range, IDs not matching known records, missing required citations, or fields copied into the wrong category - add domain validation.","Prompt Engineering & Structured Output","medium","semantic-validation,schema"
"On semantic validation failure, what is more effective than a blind retry or temperature: 0?","A correction request that includes the source document, the previous extraction, and the exact validation errors; temperature 0 only removes variability without fixing the mismatch.","Prompt Engineering & Structured Output","hard","validation-loop,retry"
"How do you make invoice total mismatches auto-detectable?","Add explicit reconciliation fields (e.g., calculated_total, stated_total, totals_match) and flag mismatches automatically rather than forcing the model to reconcile values it cannot verify.","Prompt Engineering & Structured Output","medium","reconciliation,validation"
"Which extraction failure cannot be fixed by retrying with the same input?","When the needed information is in an external document not provided to the model - retries only hallucinate; retrieve the missing source or route to human review.","Prompt Engineering & Structured Output","hard","retry,limits"
"A locale number ""1,234"" must become integer 1234. Can a retry with feedback fix it?","Yes - format mismatches like locale numbers or ISO datetime vs date-only are easily fixed on retry with feedback, unlike genuinely missing source information.","Prompt Engineering & Structured Output","medium","retry,formatting"
"For a long but in-context document with scattered facts, what outperforms raw extraction or mechanical chunking?","A model-driven pre-extraction pass that surfaces relevant sections into a structured intermediate, then extraction against that intermediate; it keeps the model focused and reduces missed scattered details.","Prompt Engineering & Structured Output","hard","long-documents,pre-extraction"
"When chunking vs pre-extraction summarization for long documents?","Chunk when documents exceed context limits or sections are independent; use pre-extraction summarization when the document fits but key facts are scattered. Chunking loses cross-section relationships; summarization alone loses exact values.","Prompt Engineering & Structured Output","hard","long-documents,chunking"
"Is confidence: 0.92 a 92% accuracy guarantee?","No. Self-reported confidence is useful only after calibration against a labeled validation set measured by document type, field, source quality, and confidence band.","Prompt Engineering & Structured Output","medium","confidence,calibration"
"What should route an extraction to human review?","Low calibrated confidence, ambiguous or contradictory source content, high-impact fields, failed semantic validation, and new or historically error-prone document types.","Prompt Engineering & Structured Output","easy","human-review,routing"
"Why is verifying only aggregate accuracy insufficient before automating extractions?","A 97% overall pipeline can be 80% on a specific document type or field; break down accuracy by segment before raising the automation threshold - comparing thresholds first is premature.","Prompt Engineering & Structured Output","hard","automation,segmentation"
"Even after automation begins, why keep sampling high-confidence outputs?","Stratified random review of a fixed percentage detects hidden systematic errors that look reasonable to humans not reading the source; downstream complaints alone miss them.","Prompt Engineering & Structured Output","medium","automation,sampling"
"When a recurring failure mode is identified, what is usually the highest-leverage fix?","Adding a few-shot example demonstrating correct handling; fine-tuning, regex post-processing, or new schema fields are heavier interventions to consider only if focused prompt/schema changes do not move the metric.","Prompt Engineering & Structured Output","hard","feedback-loop,few-shot"
"For dismissed code-review findings, what fields enable analyzing over-reporting?","detected_pattern, rule_id, or evidence so analysts see which code construct triggered each finding; without them you only see ""35% dismissed,"" not which constructs to suppress.","Prompt Engineering & Structured Output","medium","feedback-loop,code-review"
"When does the Message Batches API make sense for extraction?","High-volume asynchronous work that tolerates delayed results; use real-time Messages API for urgent documents, interactive flows, or SLA-sensitive alerts.","Prompt Engineering & Structured Output","easy","batch,extraction"
"Why must batch results be joined by custom_id?","Results may not arrive in the same order as requests; always join by custom_id, never by position.","Prompt Engineering & Structured Output","easy","batch,custom-id"
"For mixed urgency, route per-document or per-batch?","Per-document: standard docs to the Batch API for cost savings, urgent ones to real-time. Batching everything then expediting inside the batch defeats the purpose because batch latency is the issue.","Prompt Engineering & Structured Output","hard","batch,routing"
"For 50,000 documents under a two-week deadline with iteration expected, what is the best strategy?","Submit everything to the Batch API for the bulk discount, then submit failures in successive refined batches; ten sequential 5,000 batches costs more calendar time without meaningful learning.","Prompt Engineering & Structured Output","hard","batch,bulk-extraction"
"Approximately what discount does batch processing offer and what is the worst-case window?","Roughly 50% off equivalent on-demand pricing, with up to a 24-hour completion window; design SLAs around the 24-hour worst case.","Prompt Engineering & Structured Output","easy","batch,cost"
"Why is forcing text JSON with prompt instructions a pitfall when tool use is available?","Prompt-only JSON is more fragile than schema-backed tool use; also it ignores tool-definition token cost and people confuse auto with required tool use.","Prompt Engineering & Structured Output","medium","structured-output,pitfall"
"Why is using batch processing solely for cost a pitfall?","Latency and SLA dominate; if a result is needed immediately the discount does not matter, and batch is wrong when humans are waiting interactively.","Prompt Engineering & Structured Output","medium","batch,sla"
